latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
37.45436,-121.93206,304.75,0.44,0.46,2026-09-13,943,N,VIIRS,n,2.0NRT,286.8,1.06,N
37.76039,-121.65218,312.06,0.42,0.46,2026-09-13,943,N,VIIRS,n,2.0NRT,285.83,2.5,N
37.76085,-121.65694,322.84,0.42,0.46,2026-09-13,943,N,VIIRS,n,2.0NRT,286.75,2.5,N
37.76461,-121.65175,329.62,0.42,0.46,2026-09-13,943,N,VIIRS,n,2.0NRT,292.48,2.5,N
37.76506,-121.65642,315.22,0.42,0.46,2026-09-13,943,N,VIIRS,n,2.0NRT,288.01,2.5,N
37.88389,-121.18537,298.03,0.4,0.44,2026-09-13,943,N,VIIRS,n,2.0NRT,287.4,0.4,N
37.76163,-121.6523,329.81,0.78,0.78,2026-09-13,1123,N,VIIRS,n,2.0NRT,287.13,5.89,N
37.76532,-121.65379,319.82,0.78,0.78,2026-09-13,1123,N,VIIRS,n,2.0NRT,286.33,4.85,N
37.84553,-121.09909,335.7,0.41,0.37,2026-09-13,2104,N,VIIRS,l,2.0NRT,307.52,3.18,D
36.71303,-121.76841,297.03,0.38,0.59,2026-09-14,924,N,VIIRS,n,2.0NRT,284.93,0.48,N
37.95096,-122.39861,301.7,0.41,0.61,2026-09-14,1104,N,VIIRS,n,2.0NRT,289.82,1.4,N
